tournament,date,home_team,away_team,elo_diff,reliable_zone,actual,p_home,p_draw,p_away,q_home,q_draw,q_away,took_trade,bet_side,bet_outcome,model_p,market_ask,net_edge,contracts,stake,fee,total_cost,bet_won,pnl,tag
2018,2018-06-25,Russia,Uruguay,-203.7,False,away,0.2121,0.2419,0.546,0.3171,0.3171,0.3659,False,yes,away,0.546,0.3659,0.1639,97,35.51,1.58,37.07,,,
2018,2018-06-25,Saudi Arabia,Egypt,-56.2,True,home,0.2945,0.2785,0.427,0.2136,0.267,0.5195,True,no,away,0.573,0.4805,0.0748,46,22.25,0.81,22.91,True,23.09,favorite-fade
2018,2018-06-25,Spain,Morocco,269.8,False,draw,0.5963,0.2306,0.1731,0.7117,0.1922,0.0961,False,no,home,0.4037,0.2883,0.101,70,20.27,1.01,21.19,,,
2018,2018-06-25,Iran,Portugal,-130.0,True,draw,0.185,0.2327,0.5823,0.1748,0.2598,0.5654,False,no,draw,0.7673,0.7402,0.0135,17,13.02,0.23,12.81,,,
2018,2018-06-26,Australia,Peru,-174.2,False,away,0.5087,0.2555,0.2358,0.3122,0.2846,0.4032,False,yes,home,0.5087,0.3122,0.1814,114,35.71,1.72,37.31,,,
2018,2018-06-26,Denmark,France,-144.2,True,draw,0.0979,0.1711,0.731,0.2133,0.3692,0.4174,True,yes,away,0.731,0.4174,0.2965,119,50.0,2.03,51.7,False,-51.7,favorite-boost
2018,2018-06-26,Nigeria,Argentina,-310.5,False,away,0.0892,0.1673,0.7435,0.1612,0.2149,0.6239,False,yes,away,0.7435,0.6239,0.1031,63,39.74,1.04,40.35,,,
2018,2018-06-26,Iceland,Croatia,-80.3,True,away,0.1024,0.1745,0.7231,0.2811,0.2941,0.4248,True,yes,away,0.7231,0.4248,0.2811,117,50.0,2.01,51.71,True,65.29,favorite-boost
2018,2018-06-27,South Korea,Germany,-326.5,False,home,0.1676,0.2247,0.6076,0.0645,0.129,0.8065,False,no,away,0.3924,0.1935,0.1879,159,30.82,1.74,32.51,,,
2018,2018-06-27,Mexico,Sweden,91.0,True,away,0.2273,0.245,0.5277,0.3998,0.2907,0.3095,True,yes,away,0.5277,0.3095,0.2032,127,39.49,1.9,41.21,True,85.79,favorite-fade
2018,2018-06-27,Serbia,Brazil,-375.3,False,away,0.0886,0.167,0.7444,0.1467,0.2383,0.615,False,yes,away,0.7444,0.615,0.1127,68,42.0,1.13,42.95,,,
2018,2018-06-27,Switzerland,Costa Rica,82.5,True,draw,0.7269,0.1726,0.1005,0.541,0.2869,0.1721,True,yes,home,0.7269,0.541,0.1685,92,50.0,1.6,51.37,False,-51.37,favorite-boost
2018,2018-06-28,England,Belgium,1.6,True,away,0.3757,0.2578,0.3665,0.3612,0.3088,0.3301,True,no,draw,0.7422,0.6912,0.0358,29,20.65,0.44,20.49,True,8.51,neutral
2018,2018-06-28,Panama,Tunisia,5.4,True,away,0.275,0.2711,0.4539,0.2254,0.2629,0.5117,True,no,away,0.5461,0.4883,0.0403,28,14.11,0.49,14.16,False,-14.16,favorite-boost
2018,2018-06-28,Japan,Poland,-92.2,True,away,0.4915,0.2596,0.2489,0.3676,0.3083,0.324,True,yes,home,0.4915,0.3676,0.1075,66,24.48,1.08,25.34,False,-25.34,favorite-fade
2018,2018-06-28,Senegal,Colombia,-132.2,True,away,0.2269,0.2578,0.5153,0.2267,0.2721,0.5012,False,no,draw,0.7422,0.7279,-0.0002,9,6.56,0.13,6.68,,,
2022,2022-11-20,Qatar,Ecuador,-122.0,True,away,0.356,0.2765,0.3675,0.2797,0.3068,0.4135,True,yes,home,0.356,0.2797,0.062,47,13.24,0.67,13.82,False,-13.82,favorite-fade
2022,2022-11-21,Senegal,Netherlands,-273.2,False,away,0.2034,0.2424,0.5542,0.158,0.2495,0.5925,False,yes,home,0.2034,0.158,0.0359,42,6.74,0.4,7.04,,,
2022,2022-11-21,England,Iran,76.3,True,home,0.5808,0.2317,0.1876,0.7078,0.2012,0.091,True,no,home,0.4192,0.2922,0.1125,76,22.44,1.11,23.32,False,-23.32,favorite-fade
2022,2022-11-21,United States,Wales,60.1,True,draw,0.5518,0.2374,0.2108,0.3957,0.3165,0.2878,True,yes,home,0.5518,0.3957,0.1393,81,32.29,1.36,33.41,False,-33.41,favorite-boost
2022,2022-11-22,Argentina,Saudi Arabia,445.5,False,away,0.643,0.2165,0.1405,0.8344,0.1199,0.0457,False,no,home,0.357,0.1656,0.1817,173,28.67,1.68,30.33,,,
2022,2022-11-22,Mexico,Poland,45.4,True,draw,0.5213,0.2448,0.2339,0.3532,0.3179,0.3289,True,yes,home,0.5213,0.3532,0.1521,91,32.49,1.46,33.6,False,-33.6,favorite-boost
2022,2022-11-22,Denmark,Tunisia,202.2,False,draw,0.2717,0.2683,0.46,0.5963,0.2511,0.1526,False,no,home,0.7283,0.4037,0.3077,123,50.0,2.08,51.74,,,
2022,2022-11-22,France,Australia,215.9,False,home,0.6161,0.2202,0.1637,0.7521,0.1604,0.0875,False,no,home,0.3839,0.2479,0.1229,91,22.6,1.19,23.75,,,
2022,2022-11-23,Germany,Japan,121.3,True,away,0.5592,0.238,0.2028,0.6612,0.2018,0.137,True,no,home,0.4408,0.3388,0.0863,56,19.28,0.88,19.85,True,36.15,favorite-fade
2022,2022-11-23,Spain,Costa Rica,233.0,False,home,0.7952,0.1372,0.0676,0.8203,0.1269,0.0529,False,no,home,0.2048,0.1797,0.0146,21,3.82,0.22,3.99,,,
2022,2022-11-23,Morocco,Croatia,-117.6,True,draw,0.2313,0.2519,0.5167,0.2502,0.2971,0.4527,True,yes,away,0.5167,0.4527,0.0465,32,14.62,0.56,15.05,False,-15.05,favorite-boost
2022,2022-11-23,Belgium,Canada,168.2,False,home,0.5958,0.2205,0.1837,0.6393,0.2131,0.1475,False,yes,away,0.1837,0.1475,0.0273,35,5.3,0.31,5.47,,,
2022,2022-11-24,Portugal,Ghana,376.0,False,home,0.5823,0.2341,0.1836,0.6852,0.202,0.1129,False,no,home,0.4177,0.3148,0.0876,59,18.77,0.9,19.47,,,
2022,2022-11-24,Uruguay,South Korea,118.2,True,draw,0.5347,0.2524,0.2129,0.5455,0.2727,0.1818,False,yes,away,0.2129,0.1818,0.0203,26,4.75,0.28,5.01,,,
2022,2022-11-24,Switzerland,Cameroon,246.8,False,home,0.7277,0.1705,0.1018,0.5455,0.2727,0.1818,False,yes,home,0.7277,0.5455,0.1649,91,50.0,1.58,51.22,,,
2022,2022-11-24,Brazil,Serbia,280.8,False,home,0.7419,0.1682,0.0899,0.6407,0.222,0.1373,False,yes,home,0.7419,0.6407,0.0848,54,35.19,0.88,35.48,,,
2022,2022-11-25,Qatar,Senegal,-32.5,True,away,0.4667,0.2754,0.2579,0.1609,0.254,0.5851,True,no,away,0.7421,0.4149,0.3102,120,50.0,2.04,51.83,False,-51.83,favorite-fade
2022,2022-11-25,Netherlands,Ecuador,183.7,False,draw,0.4433,0.257,0.2997,0.5282,0.2716,0.2002,False,yes,away,0.2997,0.2002,0.0882,77,15.56,0.87,16.28,,,
2022,2022-11-25,Wales,Iran,-63.3,True,away,0.2155,0.2489,0.5355,0.4426,0.307,0.2504,True,yes,away,0.5355,0.2504,0.2719,189,47.54,2.49,49.82,True,139.18,favorite-boost
2022,2022-11-25,England,United States,79.5,True,draw,0.5835,0.2242,0.1923,0.6221,0.2296,0.1483,True,yes,away,0.1923,0.1483,0.0349,43,6.45,0.39,6.77,False,-6.77,favorite-fade
2022,2022-11-26,Poland,Saudi Arabia,114.6,True,home,0.2873,0.2666,0.4461,0.5446,0.2648,0.1906,True,yes,away,0.4461,0.1906,0.2446,206,39.45,2.23,41.5,False,-41.5,favorite-fade
2022,2022-11-26,Argentina,Mexico,285.5,False,home,0.609,0.223,0.168,0.615,0.2383,0.1467,False,yes,away,0.168,0.1467,0.0123,21,3.13,0.19,3.27,,,
2022,2022-11-26,Tunisia,Australia,-14.8,True,away,0.364,0.2857,0.3502,0.4454,0.2992,0.2554,True,yes,away,0.3502,0.2554,0.0815,62,15.92,0.83,16.66,True,45.34,favorite-boost
2022,2022-11-26,France,Denmark,28.5,True,home,0.7136,0.1769,0.1095,0.5282,0.2716,0.2002,True,yes,home,0.7136,0.5282,0.1679,92,49.12,1.61,50.2,True,41.8,favorite-boost
2022,2022-11-27,Croatia,Canada,79.5,True,home,0.5674,0.2287,0.2038,0.4543,0.2806,0.265,True,yes,home,0.5674,0.4543,0.0957,57,25.91,0.99,26.89,True,30.11,favorite-boost
2022,2022-11-27,Japan,Costa Rica,28.5,True,away,0.5996,0.2298,0.1706,0.6596,0.2209,0.1195,True,no,home,0.4004,0.3404,0.0442,33,11.37,0.52,11.75,True,21.25,favorite-fade
2022,2022-11-27,Spain,Germany,83.2,True,draw,0.3951,0.2515,0.3534,0.4029,0.2705,0.3265,False,yes,away,0.3534,0.3265,0.0109,15,4.99,0.24,5.14,,,
2022,2022-11-27,Belgium,Morocco,206.3,False,away,0.5434,0.2453,0.2112,0.476,0.28,0.2441,False,yes,home,0.5434,0.476,0.0499,33,16.1,0.58,16.29,,,
2022,2022-11-28,South Korea,Ghana,206.8,False,away,0.3864,0.285,0.3286,0.3827,0.3086,0.3086,False,no,draw,0.715,0.6914,0.0082,13,9.56,0.2,9.19,,,
2022,2022-11-28,Portugal,Uruguay,51.0,True,home,0.3947,0.261,0.3444,0.4789,0.2817,0.2394,True,yes,away,0.3444,0.2394,0.0921,72,17.24,0.92,18.16,False,-18.16,favorite-fade
2022,2022-11-28,Cameroon,Serbia,-231.5,False,draw,0.3128,0.2607,0.4265,0.2017,0.2661,0.5322,False,yes,home,0.3128,0.2017,0.0998,86,17.4,0.97,18.31,,,
2022,2022-11-28,Brazil,Switzerland,265.6,False,home,0.4604,0.2549,0.2847,0.6364,0.2273,0.1364,False,no,home,0.5396,0.3636,0.1597,95,34.56,1.54,36.09,,,
2022,2022-11-29,Ecuador,Senegal,89.5,True,away,0.4775,0.2689,0.2536,0.3912,0.2995,0.3092,True,yes,home,0.4775,0.3912,0.0694,45,17.71,0.76,18.37,False,-18.37,favorite-boost
2022,2022-11-29,Qatar,Netherlands,-305.7,False,away,0.3002,0.2622,0.4376,0.0639,0.137,0.7991,False,no,away,0.5624,0.2009,0.3502,248,50.0,2.79,52.62,,,
2022,2022-11-29,Wales,England,-139.6,True,away,0.0905,0.1607,0.7488,0.1265,0.2191,0.6544,True,yes,away,0.7488,0.6544,0.0785,52,34.15,0.83,34.86,True,17.14,favorite-boost
2022,2022-11-29,Iran,United States,3.1,True,away,0.3576,0.2716,0.3708,0.2518,0.2814,0.4668,True,yes,home,0.3576,0.2518,0.0925,70,17.67,0.93,18.56,False,-18.56,favorite-boost
2022,2022-11-30,Poland,Argentina,-330.9,False,away,0.0913,0.1695,0.7393,0.1273,0.2274,0.6453,False,yes,away,0.7393,0.6453,0.0779,51,33.13,0.82,33.73,,,
2022,2022-11-30,Saudi Arabia,Mexico,-160.0,False,away,0.3041,0.2682,0.4277,0.1996,0.2258,0.5746,False,no,away,0.5723,0.4254,0.1297,75,31.96,1.29,33.19,,,
2022,2022-11-30,Australia,Denmark,-187.4,False,home,0.4549,0.2654,0.2797,0.1364,0.2273,0.6364,False,no,away,0.7203,0.3636,0.3405,137,50.0,2.22,52.04,,,
2022,2022-11-30,Tunisia,France,-230.7,False,home,0.1694,0.2272,0.6033,0.1467,0.2383,0.615,False,yes,home,0.1694,0.1467,0.0137,22,3.33,0.2,3.43,,,
2022,2022-12-01,Japan,Spain,-204.5,False,home,0.1903,0.2329,0.5768,0.1178,0.2093,0.6729,False,no,away,0.4232,0.3271,0.0805,54,17.85,0.84,18.5,,,
2022,2022-12-01,Costa Rica,Germany,-149.8,True,away,0.0734,0.1436,0.783,0.0451,0.0946,0.8603,True,no,away,0.217,0.1397,0.0688,80,11.23,0.68,11.86,False,-11.86,favorite-fade
2022,2022-12-01,Croatia,Belgium,-88.7,True,draw,0.3444,0.2511,0.4045,0.3598,0.2804,0.3598,False,yes,away,0.4045,0.3598,0.0285,24,8.73,0.39,9.02,,,
2022,2022-12-01,Canada,Morocco,38.1,True,away,0.3283,0.2747,0.397,0.2656,0.2897,0.4447,True,yes,home,0.3283,0.2656,0.049,40,10.68,0.55,11.17,False,-11.17,favorite-boost
2022,2022-12-02,South Korea,Portugal,-169.3,False,home,0.196,0.2353,0.5688,0.2129,0.2395,0.5475,False,no,home,0.804,0.7871,0.0044,12,9.95,0.15,9.59,,,
2022,2022-12-02,Ghana,Uruguay,-325.0,False,away,0.1968,0.2506,0.5526,0.2014,0.2518,0.5468,False,no,home,0.8032,0.7986,-0.0087,3,2.88,0.04,2.44,,,
2022,2022-12-02,Serbia,Switzerland,-15.2,True,away,0.1309,0.1923,0.6768,0.3659,0.2882,0.3459,True,yes,away,0.6768,0.3459,0.315,144,50.0,2.29,52.1,True,91.9,favorite-boost
2022,2022-12-02,Cameroon,Brazil,-512.3,False,home,0.077,0.155,0.768,0.0872,0.1745,0.7383,False,yes,away,0.768,0.7383,0.0161,19,14.22,0.26,14.29,,,
