series_ticker,event_ticker,market_ticker,title,yes_bid,yes_ask,mid,last_price,volume,open_interest,status
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LUK,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,704.00,650.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LOL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,648.00,555.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LOG,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,5593.00,602.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LIN,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.04,904.00,145.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LEW,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,809.00,590.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LEO,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.06,0.04,0.03,1124.00,656.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LAN,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,623.00,202.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-LAD,Who will perform at the 2026 FIFA World Cup final halftime show?,0.05,0.06,0.055,0.05,2170.03,686.47,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KOD,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,521.00,487.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KIDC,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.03,326.59,106.79,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KID,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.04,680.00,373.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KHA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.06,290.21,244.21,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KEN,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.04,1448.25,712.56,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KATS,Who will perform at the 2026 FIFA World Cup final halftime show?,0.11,0.13,0.12,0.21,3306.92,2051.17,active
